time	F1	B1	F2	B2
0.723	1491.81	780.47	2084.45	1228.17
0.724	1496.04	710.07	2039.31	1283.25
0.725	1505.54	635.20	2011.86	1402.61
0.726	1516.36	568.35	1998.48	1615.12
0.727	1526.65	510.37	2024.07	2011.30
0.728	1534.30	460.49	2362.93	2855.08
0.729	1538.40	420.94	2942.72	1935.29
0.730	347.96	1502.66	1539.55	394.39
0.731	459.49	1299.33	1538.54	381.84
0.732	489.16	1226.15	1535.47	382.90
0.733	483.52	1230.50	1529.63	396.93
0.734	447.73	1293.44	1519.53	424.38
0.735	365.70	1419.67	1502.37	467.44
0.736	1472.42	528.01	2792.68	920.30
0.737	1419.57	596.30	2739.68	1048.81
0.738	1341.69	627.60	2609.84	1189.69
0.739	1270.47	591.86	2442.13	1124.61
0.740	1228.72	532.31	2356.29	983.13
0.741	1211.73	481.34	2314.01	900.04
0.742	1210.91	445.34	2287.08	871.16
0.743	1219.86	422.22	2265.83	880.27
0.744	1234.06	409.27	2245.89	914.24
0.745	1250.11	405.58	2224.30	961.83
0.746	1264.99	412.34	2198.47	1011.56
0.747	1275.64	432.06	2166.81	1050.49
0.748	1279.06	466.40	2131.06	1066.00
0.749	1273.06	512.84	2098.06	1052.76
0.750	1257.96	562.94	2076.50	1018.90
0.751	1237.41	605.77	2069.96	979.78
0.752	1216.12	633.61	2074.69	944.87
0.753	1197.09	643.40	2083.99	916.17
0.754	1181.51	635.73	2093.39	893.63
0.755	1169.40	614.42	2101.88	876.42
0.756	1160.05	586.11	2109.83	862.97
0.757	1152.73	558.81	2117.07	853.04
0.758	1147.54	539.97	2122.64	849.30
0.759	1145.62	535.14	2125.49	857.09
0.760	1148.86	547.39	2125.07	883.07
0.761	1159.48	576.90	2121.69	933.92
0.762	1179.43	620.03	2116.84	1015.36
0.763	1209.35	668.07	2113.33	1130.68
0.764	1246.37	708.30	2115.39	1276.76
0.765	1282.89	731.13	2126.91	1436.79
0.766	1310.62	738.12	2147.57	1579.50
0.767	1327.28	736.36	2172.97	1677.21
0.768	1336.72	727.02	2199.64	1726.24
0.769	1344.71	704.88	2224.63	1743.02
0.770	1354.79	665.87	2243.05	1741.64
0.771	1366.65	613.42	2249.26	1720.72
0.772	1378.13	557.70	2239.86	1673.36
0.773	1387.89	509.29	2215.57	1603.21
0.774	1395.89	474.97	2179.59	1526.06
0.775	1402.89	458.06	2134.32	1460.91
0.776	1410.44	459.83	2079.85	1423.47
0.777	1421.47	479.64	2014.08	1425.92
0.778	1441.50	512.20	1932.82	1482.78
0.779	1477.57	538.78	1830.94	1626.12
0.780	1524.70	524.35	1714.27	1920.35
0.781	1562.07	472.53	1597.60	2440.73
0.782	1427.04	3460.43	1586.61	417.50
0.783	1603.52	373.34	3092.80	742.39
0.784	1614.72	344.08	3063.95	853.14
0.785	1619.59	332.00	2985.92	976.05
0.786	1616.28	338.70	2888.96	1016.00
0.787	1602.44	363.91	2809.41	1024.59
0.788	1575.86	403.22	2739.65	1033.46
0.789	1536.38	445.42	2674.30	1039.90
0.790	1489.53	474.75	2615.10	1039.54
0.791	1447.12	482.95	2566.01	1039.85
0.792	1419.83	476.02	2527.75	1055.97
0.793	1411.09	463.62	2498.42	1098.71
0.794	1418.22	449.72	2477.27	1170.45
0.795	1435.29	433.65	2465.43	1267.50
0.796	1455.49	415.02	2463.46	1382.90
0.797	1473.47	396.35	2468.33	1508.68
0.798	1486.44	382.20	2471.17	1637.88
0.799	1493.51	377.10	2456.77	1761.13
0.800	1494.39	384.93	2408.30	1850.27
0.801	1488.07	408.92	2325.59	1846.94
0.802	1471.68	450.27	2242.57	1713.23
0.803	1440.97	502.24	2198.11	1492.12
0.804	1396.65	545.37	2200.63	1265.36
0.805	1350.00	565.73	2232.68	1087.04
0.806	1312.22	569.33	2275.28	967.04
0.807	1287.40	566.49	2319.42	896.90
0.808	1276.02	562.72	2362.87	866.05
0.809	1278.18	559.57	2407.59	862.56
0.810	1294.81	555.79	2460.10	866.40
0.811	1326.38	546.49	2525.75	833.17
0.812	1369.39	523.91	2578.47	724.41
0.813	1414.41	484.31	2597.62	605.45
0.814	1451.04	434.84	2601.43	516.61
0.815	1474.55	387.54	2600.74	457.27
0.816	1485.61	349.77	2599.05	422.41
0.817	1487.04	323.05	2597.48	408.03
0.818	1481.85	305.95	2596.38	411.28
0.819	1472.78	296.41	2595.91	430.20
0.820	1462.32	292.85	2596.48	463.53
0.821	1452.71	294.67	2599.23	510.56
0.822	1445.63	301.80	2606.71	571.49
0.823	1441.62	313.44	2623.13	648.81
0.824	1439.55	326.78	2654.58	749.96
0.825	1436.82	337.38	2714.08	893.54
0.826	1431.00	341.33	2793.66	1753.31
0.827	1421.65	337.08	2545.89	1803.71
0.828	1410.28	325.59	2440.02	1836.12
0.829	1398.86	309.81	2411.04	1886.98
0.830	1388.58	293.80	2447.68	1975.58
0.831	1379.72	281.82	2547.26	2088.95
0.832	1372.32	277.39	2704.15	2193.44
0.833	1366.52	283.00	2898.20	2254.38
0.834	1362.57	300.31	2981.08	925.42
0.835	1360.72	330.12	2936.16	993.22
0.836	1361.10	371.71	2886.48	1097.31
0.837	1363.44	421.64	2801.40	1212.10
0.838	1366.48	473.37	2693.31	1247.50
0.839	1367.74	519.42	2598.82	1211.70
0.840	1364.18	555.28	2525.30	1143.14
0.841	1353.71	581.11	2470.07	1067.60
0.842	1335.94	599.61	2428.84	1001.33
0.843	1312.16	612.80	2397.49	953.92
0.844	1285.32	621.24	2372.08	930.76
0.845	1259.84	625.62	2348.61	934.62
0.846	1240.42	628.70	2322.75	965.06
0.847	1230.31	634.96	2290.88	1016.15
0.848	1230.31	648.18	2252.07	1075.82
0.849	1239.14	669.65	2209.27	1129.64
0.850	1254.34	698.16	2167.27	1166.28
0.851	1273.16	730.82	2129.38	1179.55
0.852	1293.32	763.93	2096.22	1168.75
0.853	1313.64	793.17	2066.94	1139.37
0.854	1333.55	813.79	2040.41	1099.93
0.855	1351.33	821.62	2015.92	1054.67
0.856	1362.80	814.97	1994.13	1000.29
0.857	1363.19	796.11	1976.77	932.36
0.858	1350.71	770.51	1964.50	854.13
0.859	1327.17	744.52	1956.09	775.51
0.860	1295.81	722.78	1950.06	705.43
0.861	1259.94	706.66	1946.23	648.33
0.862	1222.97	695.41	1945.49	605.27
0.863	1187.85	688.21	1948.80	575.20
0.864	1156.19	684.83	1956.26	555.82
0.865	1128.25	684.92	1966.75	544.82
0.866	1103.73	687.30	1977.93	541.15
0.867	1083.00	689.95	1986.77	545.97
0.868	1067.68	691.41	1990.30	562.71
0.869	1060.27	692.90	1986.24	596.31
0.870	1062.86	699.07	1973.13	651.98
0.871	1076.41	716.06	1950.11	734.33
0.872	1101.65	747.84	1916.44	846.91
0.873	1141.20	791.65	1871.67	992.58
0.874	1199.87	829.05	1818.93	1176.27
0.875	1271.91	817.45	1777.86	1402.72
0.876	1326.14	753.78	1783.09	1614.46
0.877	1357.92	697.03	1814.81	1722.17
0.878	1382.20	664.45	1832.27	1740.96
0.879	1406.09	650.04	1826.64	1723.56
0.880	1431.58	643.02	1809.57	1713.76
0.881	1457.42	630.57	1798.34	1748.36
0.882	1479.73	603.59	1811.13	1855.09
0.883	1495.65	562.16	1867.16	2052.08
0.884	1506.45	510.75	2000.51	2369.26
0.885	1515.32	453.13	2371.83	2829.69
0.886	1524.33	393.03	2935.44	2017.16
0.887	1533.61	335.23	2911.85	1385.63
0.888	1542.21	284.68	2893.05	1128.53
0.889	1549.18	245.10	2898.50	993.10
0.890	1553.96	218.24	2918.68	924.00
0.891	1556.34	204.37	2947.14	903.81
0.892	1556.11	203.09	2978.88	931.84
0.893	1552.81	213.66	3011.41	1027.90
0.894	1545.58	234.50	3037.24	1281.28
0.895	1533.47	261.84	2848.67	1729.32
0.896	1516.58	288.69	2580.44	1620.77
0.897	1497.60	306.95	2463.00	1401.71
0.898	1481.11	312.81	2414.92	1253.25
0.899	1470.54	308.85	2396.65	1183.58
0.900	1466.46	300.56	2392.98	1185.31
0.901	1467.50	292.51	2399.28	1255.72
0.902	1471.78	286.87	2416.98	1401.93
0.903	1477.43	283.76	2451.38	1647.48
0.904	1482.46	282.57	2502.64	2045.52
0.905	1484.77	283.49	2533.39	2637.25
0.906	1482.39	288.17	2513.33	3301.54
0.907	1474.03	298.65	2496.20	3878.85
0.908	1459.52	315.46	2554.50	4262.70
0.909	1440.40	336.42	2734.32	4412.04
0.910	1420.03	357.72	3058.55	4349.21
0.911	1402.20	376.69	3135.67	770.95
0.912	1389.24	392.99	3134.17	800.21
0.913	1381.44	407.47	3122.19	799.75
0.914	1377.97	421.09	3101.05	768.60
0.915	1377.78	434.62	3078.14	719.28
0.916	1380.23	448.42	3058.68	665.63
0.917	1385.32	462.17	3043.90	615.22
0.918	1393.46	474.69	3032.66	569.95
0.919	1405.07	484.05	3022.61	529.50
0.920	1420.10	487.83	3011.32	494.04
0.921	1252.20	6257.54	1437.46	483.75
0.922	992.63	5993.97	1454.72	471.52
0.923	1468.85	454.82	2964.74	424.12
0.924	1477.55	440.49	2951.02	411.49
0.925	1479.77	435.13	2942.22	404.10
0.926	1474.94	443.11	2938.63	404.10
0.927	1462.10	466.74	2938.92	414.47
0.928	1439.34	506.82	2940.97	438.55
0.929	1403.34	561.35	2942.65	480.24
0.930	1350.07	620.79	2941.78	544.71
0.931	1280.49	663.50	2935.47	640.01
0.932	1208.31	673.91	2917.18	781.29
0.933	1148.19	667.68	2857.83	994.75
0.934	1102.69	670.33	2707.18	1106.73
0.935	1068.37	699.18	2604.54	1091.68
0.936	1041.10	768.24	2532.08	1118.98
0.937	1015.71	896.70	2458.19	1205.70
0.938	979.73	1120.85	2358.33	1341.70
0.939	867.84	1523.10	2197.50	1470.14
0.940	522.06	1449.50	1991.88	1377.36
0.941	481.46	1254.32	1897.88	1144.18
0.942	464.51	1188.51	1858.95	985.61
0.943	455.25	1138.28	1829.11	873.47
0.944	450.00	1082.28	1802.09	779.90
0.945	442.64	1036.94	1781.28	697.26
0.946	425.92	1026.80	1768.51	629.53
0.947	389.33	1074.34	1761.60	581.78
0.948	302.83	1209.75	1756.19	556.87
0.949	1747.47	556.13	3288.37	639.11
0.950	690.31	4816.25	1731.05	579.48
0.951	1561.28	2994.11	1703.64	623.28
0.952	1664.26	676.62	1699.41	2327.28
0.953	1617.32	720.36	1747.73	1996.35
0.954	1574.71	740.28	1755.29	1853.27
0.955	1546.19	740.05	1731.37	1830.08
0.956	1531.23	727.61	1685.05	1884.81
0.957	1523.35	708.32	1629.05	1987.81
0.958	1515.87	689.81	1578.47	2102.55
0.959	1504.10	681.51	1552.12	2175.56
0.960	1483.13	690.63	1571.50	2147.96
0.961	1444.07	715.12	1649.40	1994.26
0.962	1379.37	722.16	1775.67	1766.64
0.963	1309.94	675.51	1904.63	1552.11
0.964	1257.00	603.93	2000.29	1371.27
0.965	1219.69	536.53	2060.84	1224.21
0.966	1193.84	482.87	2093.89	1111.42
0.967	1177.11	445.42	2106.12	1031.37
0.968	1168.37	425.54	2101.89	982.89
0.969	1167.11	424.79	2084.28	966.68
0.970	1173.54	444.71	2056.39	985.57
0.971	1188.95	485.74	2022.16	1045.21
0.972	1215.69	544.56	1986.93	1156.27
0.973	1255.66	608.83	1960.24	1337.46
0.974	1304.10	656.41	1965.32	1612.97
0.975	1346.61	680.20	2051.30	1988.49
0.976	1377.53	701.92	2332.17	2406.55
0.977	1405.87	736.41	2769.55	1982.33
0.978	1442.51	774.62	2820.07	1537.36
0.979	377.98	1896.44	1488.00	785.90
0.980	485.56	1595.94	1526.84	751.26
0.981	514.73	1439.44	1547.50	687.21
0.982	524.96	1368.35	1553.14	617.65
0.983	534.19	1348.66	1552.23	558.44
0.984	550.10	1360.55	1551.66	518.29
0.985	576.08	1385.18	1555.08	499.25
0.986	611.63	1392.02	1563.39	496.70
0.987	649.10	1349.60	1575.12	501.85
0.988	676.36	1261.60	1586.22	507.83
0.989	688.88	1167.01	1591.60	515.24
0.990	690.41	1101.74	1587.76	529.93
0.991	684.61	1084.60	1573.20	556.55
0.992	670.99	1125.83	1547.33	594.38
0.993	642.62	1235.85	1510.49	635.41
0.994	579.76	1424.89	1466.58	664.05
0.995	437.17	1676.82	1426.54	666.68
0.996	1402.26	647.08	2903.97	964.82
0.997	1395.31	618.15	2955.52	875.60
0.998	1399.23	588.45	2972.12	758.44
0.999	1407.08	563.92	2966.40	655.38
1.000	1414.37	547.96	2951.54	576.98
1.001	1417.93	540.30	2934.56	523.02
1.002	1415.09	538.79	2919.05	490.76
1.003	1404.45	541.38	2907.17	477.26
1.004	1386.65	546.18	2900.42	480.03
1.005	1364.38	550.93	2900.03	497.01
1.006	1342.10	553.34	2907.07	526.06
1.007	1325.38	552.66	2922.42	563.91
1.008	1319.20	549.71	2807.71	4871.86
1.009	1325.90	543.84	2611.89	3831.68
1.010	1343.78	531.03	2484.11	3470.97
1.011	1366.84	507.25	2380.60	3342.48
1.012	1387.48	474.16	2294.49	3296.18
1.013	1400.96	439.02	2222.21	3285.77
1.014	1406.81	409.12	2156.78	3330.14
1.015	1406.92	388.62	2086.79	3463.09
1.016	1403.44	379.31	1996.84	3677.78
1.017	1397.60	382.35	1884.62	3857.67
1.018	1389.21	399.35	1803.57	3755.73
1.019	1376.25	432.08	1816.20	3255.81
1.020	1354.85	479.18	1883.20	2577.23
1.021	1321.98	527.83	1951.76	1972.57
1.022	1285.09	556.85	2008.53	1544.89
1.023	1258.96	566.31	2049.27	1282.91
1.024	1248.49	570.69	2075.44	1137.46
1.025	1250.07	577.34	2090.85	1067.41
1.026	1257.33	588.01	2096.98	1042.46
1.027	1263.63	604.37	2092.22	1038.24
1.028	1263.82	629.75	2074.15	1035.53
1.029	1255.34	668.55	2042.74	1023.84
1.030	1238.09	726.14	2000.13	1003.66
1.031	1212.01	810.51	1946.83	979.40
1.032	1171.40	933.97	1881.26	946.83
1.033	1090.68	1100.63	1806.89	886.42
1.034	927.32	1181.61	1743.33	789.00
1.035	810.74	1027.92	1704.36	690.72
1.036	777.97	906.24	1682.58	617.67
1.037	771.33	848.77	1669.60	571.10
1.038	774.84	836.87	1660.44	545.75
1.039	783.40	860.42	1652.00	536.27
1.040	794.98	915.39	1642.18	538.58
1.041	809.01	1002.07	1629.31	549.88
1.042	826.12	1125.17	1611.78	568.21
1.043	848.32	1297.81	1587.57	591.56
1.044	878.63	1557.83	1553.69	615.15
1.045	919.93	2050.70	1507.74	624.67
1.046	1444.37	3208.18	1457.16	597.68
1.047	1418.38	539.34	2099.52	2720.73
1.048	1394.95	475.89	2371.93	2124.62
1.049	1381.99	421.33	2470.08	1680.64
1.050	1375.17	378.80	2505.24	1427.86
1.051	1372.04	346.23	2538.88	1300.69
1.052	1371.19	319.67	2589.39	1226.69
1.053	1371.66	295.69	2654.06	1148.07
1.054	1372.90	272.86	2712.61	1035.97
1.055	1374.82	251.65	2746.85	912.01
1.056	1377.79	233.52	2759.05	808.17
1.057	1382.20	219.82	2758.46	734.98
1.058	1388.33	211.44	2751.00	691.60
1.059	1396.37	208.76	2738.86	674.78
1.060	1406.49	211.78	2721.81	679.64
1.061	1418.94	220.16	2698.89	696.81
1.062	1433.78	233.32	2671.63	712.94
1.063	1450.45	250.55	2645.50	720.32
1.064	1467.46	271.33	2626.08	721.88
1.065	1483.05	295.24	2616.76	722.17
1.066	1496.27	321.33	2619.86	719.88
1.067	1507.33	347.32	2636.10	708.37
1.068	1517.13	369.53	2662.22	681.35
1.069	1526.12	384.09	2691.49	640.48
1.070	1533.70	388.64	2718.35	596.50
1.071	1538.38	383.74	2741.29	562.05
1.072	1538.34	372.92	2761.72	546.66
1.073	1532.17	361.52	2782.36	557.59
1.074	1519.33	355.13	2807.28	602.92
1.075	1500.13	358.62	2844.79	694.05
1.076	1475.28	375.99	2351.13	6347.27
1.077	1444.69	410.10	2166.26	2826.01
1.078	1406.82	459.23	1995.16	1883.88
1.079	1362.31	511.99	1934.34	1440.81
1.080	1320.39	561.48	1921.65	1219.59
1.081	1289.33	623.26	1921.22	1131.05
1.082	1269.81	718.62	1916.59	1128.53
1.083	1263.16	870.98	1894.05	1195.69
1.084	1286.58	1139.88	1814.94	1337.49
1.085	1306.40	2213.70	1598.27	1157.06
1.086	337.95	1630.05	1593.99	934.76
1.087	394.82	1258.75	1580.31	815.07
1.088	389.22	1128.40	1559.21	718.07
1.089	373.72	1073.67	1536.08	631.66
1.090	354.56	1055.61	1514.57	558.28
1.091	329.56	1063.32	1495.49	502.74
1.092	287.74	1101.28	1477.54	467.83
1.093	192.25	1186.67	1458.17	454.17
1.094	1433.87	460.63	3084.82	833.25
1.095	1400.15	482.41	3078.30	966.43
1.096	1353.75	506.74	3030.00	1184.46
1.097	1298.97	516.21	2874.53	1429.51
1.098	1247.95	508.80	2653.31	1421.67
1.099	1209.77	499.39	2520.52	1301.13
1.100	1188.33	501.40	2426.11	1259.85
1.101	1185.03	519.95	2316.05	1281.57
1.102	1199.02	551.25	2181.06	1296.08
1.103	1227.13	583.90	2047.42	1268.51
1.104	1265.10	602.78	1940.81	1223.61
1.105	1307.93	594.70	1869.63	1203.57
1.106	1348.54	555.43	1833.38	1234.29
1.107	1379.58	496.42	1830.40	1317.14
1.108	1399.82	436.62	1856.97	1443.50
1.109	1412.77	386.61	1911.67	1615.37
1.110	1421.63	348.49	2005.21	1848.85
1.111	1428.11	321.53	2182.71	2169.65
1.112	1432.98	304.77	2665.63	2389.47
1.113	1436.64	297.57	2830.04	1453.37
1.114	1439.45	299.61	2789.13	1192.52
1.115	1442.09	310.62	2778.53	1078.34
1.116	1445.68	329.93	2787.07	1025.16
1.117	1451.71	355.91	2813.87	1001.89
1.118	342.47	1413.84	1461.32	385.11
1.119	455.89	1287.85	1474.36	411.96
1.120	509.50	1188.69	1488.63	430.37
1.121	525.34	1120.37	1500.60	437.00
1.122	515.05	1086.77	1507.30	432.96
1.123	485.61	1091.82	1507.45	422.46
1.124	438.78	1139.70	1501.29	410.59
1.125	368.68	1234.33	1490.05	402.04
1.126	246.81	1382.61	1475.36	400.81
1.127	1458.41	410.19	2930.96	672.28
1.128	1439.34	432.17	2935.33	699.73
1.129	1417.37	466.01	2957.35	743.26
1.130	1391.94	506.39	2215.79	3480.42
1.131	1365.34	544.21	2182.90	2462.48
1.132	1343.91	573.33	2175.53	2062.34
1.133	1334.39	594.68	2197.88	1963.31
1.134	1340.64	608.86	2266.57	2145.97
1.135	1362.89	608.29	2495.73	2988.09
1.136	1394.85	581.02	2918.49	1003.56
1.137	1425.48	528.30	2868.54	852.91
1.138	394.72	1501.07	1448.83	465.66
1.139	478.37	1304.44	1465.21	406.29
1.140	507.37	1212.12	1476.54	356.10
1.141	502.00	1200.96	1484.40	316.11
1.142	449.11	1274.78	1489.81	284.75
1.143	270.57	1459.94	1493.62	259.45
1.144	1496.82	238.28	2802.89	860.45
1.145	1500.26	221.05	2809.55	1007.19
1.146	1503.93	209.23	2833.56	1214.04
1.147	1506.72	204.87	2933.18	1662.56
1.148	1506.92	209.62	2564.04	2150.83
1.149	1502.89	223.97	2382.84	2087.10
1.150	1493.59	246.71	2274.28	1998.34
1.151	1479.05	275.10	2206.98	1897.51
1.152	1460.70	305.85	2169.66	1802.79
1.153	1441.01	337.11	2151.79	1730.93
1.154	1422.32	369.37	2144.06	1687.45
1.155	1405.69	404.26	2140.13	1664.77
1.156	1390.79	442.46	2136.72	1646.39
1.157	1376.66	482.33	2133.01	1616.22
1.158	1362.76	520.18	2129.46	1569.30
1.159	1349.50	552.11	2126.33	1514.83
1.160	1337.85	576.08	2122.87	1467.73
1.161	1328.01	592.33	2117.89	1437.85
1.162	1318.99	602.17	2110.74	1425.51
1.163	1309.58	606.74	2102.04	1423.63
1.164	1300.03	606.80	2094.43	1424.71
1.165	1293.07	602.91	2093.44	1430.23
1.166	1293.14	595.85	2108.24	1456.09
1.167	1304.09	585.44	2156.00	1525.72
1.168	1326.34	568.24	2276.43	1631.53
1.169	1354.97	539.96	2497.90	1555.06
1.170	1382.49	502.93	2613.00	1241.73
1.171	1404.55	465.09	2644.95	1035.89
1.172	1420.78	432.00	2661.18	923.68
1.173	1432.24	404.32	2674.53	872.74
1.174	1439.86	379.63	2686.07	866.86
1.175	1444.36	354.65	2692.42	896.00
1.176	1446.59	327.23	2687.78	945.49
1.177	1447.59	297.60	2671.84	987.86
1.178	1448.31	268.06	2657.99	1007.41
1.179	1449.32	241.55	2657.35	1019.59
1.180	1450.89	220.54	2670.59	1045.37
1.181	1453.05	206.60	2693.86	1102.79
1.182	1455.89	200.50	2721.43	1215.06
1.183	1459.71	202.30	2739.79	1418.06
1.184	1464.99	211.34	2706.71	1709.01
1.185	1472.19	226.09	2614.40	1962.21
1.186	1481.56	244.06	2514.04	2135.60
1.187	1492.96	261.96	2432.69	2262.51
1.188	1505.59	276.25	2378.22	2369.91
1.189	1517.85	284.34	2353.53	2469.48
1.190	1527.69	285.45	2359.78	2564.05
1.191	1533.29	280.50	2395.88	2651.88
1.192	1533.71	271.05	2457.98	2724.85
1.193	1529.25	258.31	2537.01	2762.09
1.194	1521.53	243.01	2613.83	2734.67
1.195	1512.91	225.97	2660.64	2638.78
1.196	1505.38	208.56	2661.88	2533.66
1.197	1499.82	192.60	2644.42	2502.30
1.198	1496.00	180.05	2656.47	2554.05
1.199	1493.10	172.66	2727.60	2643.35
1.200	1490.16	171.78	2873.46	2705.79
1.201	1486.25	178.14	3088.00	1201.98
1.202	1480.60	191.48	3003.59	1265.37
1.203	1472.84	209.94	2909.56	1259.91
1.204	1463.65	229.84	2839.27	1220.40
1.205	1455.05	246.64	2798.44	1177.45
1.206	1449.81	257.20	2792.68	1142.25
1.207	1449.82	261.15	2831.06	1103.98
1.208	1455.07	260.23	2905.39	994.49
1.209	1463.94	257.02	2828.40	2958.77
1.210	1474.19	254.28	2529.57	3076.17
1.211	1483.72	254.75	2325.26	3052.23
1.212	1491.16	260.83	2200.72	2947.59
1.213	1496.16	273.62	2131.51	2794.17
1.214	1499.28	292.10	2094.25	2630.74
1.215	1501.42	313.32	2075.19	2500.67
1.216	1503.01	333.66	2072.19	2432.13
1.217	1503.11	350.60	2090.63	2427.78
1.218	1499.39	363.85	2137.71	2464.51
1.219	1489.20	374.49	2216.02	2499.48
1.220	1471.25	382.71	2317.24	2488.05
1.221	1447.18	386.96	2421.23	2411.60
1.222	1421.93	386.28	2504.13	2291.32
1.223	1401.70	383.12	2549.77	2170.86
1.224	1390.87	382.36	2556.49	2085.05
1.225	1390.89	387.90	2536.83	2043.44
1.226	1401.05	400.84	2511.83	2039.34
1.227	1419.44	419.81	2505.98	2063.33
1.228	1443.28	442.23	2546.03	2093.06
1.229	1468.71	465.59	2650.41	2033.17
1.230	1490.64	488.37	2721.99	1746.61
1.231	1503.43	508.90	2681.18	1499.76
1.232	1502.74	522.12	2617.51	1355.73
1.233	1488.86	519.44	2557.71	1252.83
1.234	1468.02	497.65	2512.29	1174.16
1.235	1446.63	465.16	2482.07	1128.05
1.236	1426.49	433.35	2459.49	1120.34
1.237	1406.65	408.26	2435.46	1147.02
1.238	1386.56	390.91	2403.75	1197.30
1.239	1367.12	380.44	2363.94	1260.01
1.240	1350.17	376.28	2320.86	1332.50
1.241	1337.41	378.43	2280.51	1421.94
1.242	1329.77	386.66	2249.16	1539.53
1.243	1327.15	399.96	2235.08	1696.26
1.244	1328.13	416.92	2249.68	1896.35
1.245	1330.20	437.01	2306.28	2121.57
1.246	1330.59	460.91	2411.49	2303.92
1.247	1327.29	488.77	2548.51	2306.12
1.248	1319.60	517.61	2696.45	1935.71
1.249	1308.29	541.41	2506.22	1375.98
1.250	1295.55	555.00	2404.76	1176.40
1.251	1284.01	558.83	2350.79	1032.11
1.252	1275.48	558.87	2325.10	938.20
1.253	1270.57	562.07	2318.32	889.14
1.254	1269.12	572.34	2325.57	877.22
1.255	1270.52	589.33	2344.26	893.10
1.256	1273.83	609.12	2372.34	926.18
1.257	1278.03	626.14	2407.37	966.93
1.258	1282.91	635.60	2447.23	1010.62
1.259	1289.73	635.04	2491.56	1057.85
1.260	1300.50	624.72	2541.00	1110.55
1.261	1316.20	607.17	2594.75	1169.34
1.262	1335.83	586.12	2650.71	1235.27
1.263	1357.19	565.38	2709.52	1309.60
1.264	1378.30	547.92	2779.82	1382.85
1.265	1398.30	535.45	2876.07	1396.33
1.266	1417.52	528.00	2954.00	1245.95
1.267	1436.94	523.64	2962.16	1053.23
1.268	1457.44	518.35	2943.67	894.80
1.269	1478.89	506.82	2920.03	768.68
1.270	1499.65	484.91	2897.30	671.23
1.271	1517.19	452.90	2877.08	599.96
1.272	1529.62	416.03	2859.99	553.07
1.273	1536.64	381.50	2846.61	529.60
1.274	1539.17	355.57	2837.52	529.41
1.275	1538.34	342.79	2833.36	553.36
1.276	1534.81	346.17	2835.17	604.03
1.277	1528.86	366.94	2844.77	686.38
1.278	1521.11	403.59	2866.18	806.62
1.279	1513.60	450.04	2910.21	962.95
1.280	1510.55	493.81	2895.06	4490.91
1.281	1516.56	516.67	2396.89	4002.88
1.282	1530.20	503.47	2004.48	4310.44
1.283	1414.44	5235.91	1542.78	459.00
1.284	1548.83	405.05	3054.46	767.78
1.285	1549.06	358.66	3037.65	665.18
1.286	1545.72	326.20	3029.88	580.91
1.287	1540.56	307.82	3028.53	522.16
1.288	1534.89	301.24	3030.68	495.13
1.289	1530.26	304.14	3034.51	504.01
1.290	1528.73	315.21	3038.89	550.05
1.291	1532.53	333.32	3042.80	632.05
1.292	1543.01	356.03	3045.08	746.63
1.293	1559.52	379.75	3044.63	887.62
1.294	1579.24	402.37	3041.94	1047.56
1.295	1598.72	426.00	3042.28	1226.36
1.296	1615.89	456.57	3059.19	1446.04
1.297	1630.77	502.21	3133.42	1768.05
1.298	1645.32	574.07	3472.71	2091.06
1.299	1413.36	2415.66	1666.04	694.67
1.300	1398.73	1396.29	1746.87	896.66
1.301	1296.25	970.66	1882.85	879.94
1.302	1258.77	756.58	1948.17	809.30
1.303	1249.37	611.37	1984.59	764.38
1.304	1252.83	506.53	2009.36	743.14
1.305	1261.80	430.00	2031.10	735.73
1.306	1272.39	375.47	2054.32	731.95
1.307	1283.04	339.88	2079.96	725.11
1.308	1293.83	322.11	2105.90	713.96
1.309	1305.80	322.09	2128.42	702.21
1.310	1320.51	340.38	2144.12	696.80
1.311	1339.74	377.52	2151.12	705.86
1.312	1365.36	432.89	2149.07	737.44
1.313	1399.11	502.43	2138.69	799.37
1.314	1441.94	574.76	2122.43	899.75
1.315	1490.21	627.28	2108.63	1045.28
1.316	1527.74	637.67	2118.85	1222.55
1.317	1535.02	616.87	2174.59	1367.47
1.318	1513.80	586.04	2269.78	1418.17
1.319	1478.96	547.30	2383.65	1379.06
1.320	1444.55	502.09	2499.05	1294.29
1.321	1417.96	456.58	2610.99	1205.60
1.322	1400.48	415.42	2727.50	1119.90
1.323	1390.47	380.12	2841.42	992.29
1.324	1385.52	351.00	2678.58	2525.35
1.325	1383.30	328.74	2557.42	2504.30
1.326	1381.81	314.46	2467.06	2458.52
1.327	1379.45	308.88	2384.46	2338.68
1.328	1375.14	311.35	2298.29	2120.24
1.329	1368.49	319.65	2211.50	1842.61
1.330	1360.21	331.08	2136.14	1576.47
1.331	1352.07	343.67	2079.08	1365.72
1.332	1346.25	356.50	2040.09	1222.13
1.333	1343.92	368.94	2017.61	1140.05
1.334	1344.00	380.12	2010.57	1103.34
1.335	1343.16	389.50	2017.16	1088.82
1.336	1337.84	397.48	2033.67	1074.78
1.337	1326.58	404.74	2055.08	1051.66
1.338	1310.73	411.87	2076.72	1023.92
1.339	1293.55	420.17	2095.15	1002.42
1.340	1278.69	432.04	2108.20	996.82
1.341	1269.16	450.21	2115.25	1013.28
